ticker,last_price,ret_1d,ret_5d,ret_20d,ytd,ma20,ma50,ma200,rsi14,volume_ratio,above_20ma,above_50ma,above_200ma,volume_ratio_zscore,sector_score
SPY,722.87,0.0058581556368515475,0.01250804359644242,0.10222157614075744,0.06100117428133944,698.61,679.5223,667.9488,79.85,0.455,True,True,True,-0.19555220230691486,
ROST,228.07,0.0012292639990301168,0.0075098831280673295,0.03677612398310881,0.25070966839298814,224.6185,215.5388,176.7881,67.38,0.327,True,True,True,-0.2616876225133803,
XEL,82.685,-0.0031946883592266495,0.04466198312780878,0.02408966740506946,0.11537449792294363,80.4043,80.557,76.486,57.82,0.475,True,True,True,-0.18521854289965464,
BIIB,187.07,-0.011675779106777195,0.01458944771758719,0.05486642149123133,0.05201889336971233,181.6785,184.7118,164.446,60.06,0.218,True,True,True,-0.3180060662829485,
ORLY,96.1,-0.03319922536317721,0.03189091923434084,0.05119230364156291,0.06375915839853308,93.4585,92.6062,97.262,55.83,0.616,True,True,False,-0.11236624407847008,
ZS,140.37,0.07415061971611281,0.035940923374077505,0.013062915635722039,-0.363603434483022,133.328,143.6706,233.7093,67.51,0.568,True,False,False,-0.13716702665589464,
XLF,52.28,0.0028773778651116633,0.016725022189342464,0.05552190728398476,-0.0433508360958651,51.674,50.5794,52.3051,59.34,0.663,True,True,False,-0.08808214447140854,-0.011160233304923137
TTWO,215.52,0.008233578830714183,0.022633472229945273,0.07830094330115722,-0.1434022295540417,209.1795,206.3562,231.6194,67.86,0.324,True,True,False,-0.2632376714244693,
SIRI,27.24,0.01113582892031828,0.023675277952512674,0.1450188618252244,0.3451518518012695,25.4775,23.5444,21.9691,67.88,0.463,True,True,True,-0.19141873854401076,
MNST,77.15,0.0010380411492341146,-0.013805468294907919,0.06604944863737239,0.012998920905541667,76.015,76.7148,71.9316,60.19,0.305,True,True,True,-0.2730546478613666,
ILMN,134.32,0.05980755553268069,0.05035979206379504,0.05448273057341879,-0.00022328826151118975,128.4535,125.8186,118.0395,58.81,0.925,True,True,True,0.04728879376370037,
AEP,136.8,-0.002260940538354461,0.015364116305658149,0.031052235479423596,0.1905850381222398,134.579,132.6258,118.9202,58.37,0.37,True,True,True,-0.23947025478777081,
NVDA,199.91,0.0017036444626583602,-0.04014020472873747,0.1269519383840476,0.05862229233753191,197.297,187.1808,183.8486,59.5,0.567,True,True,True,-0.13768370962625764,
HG=F,5.984,0.009787392268076678,-0.0065576093465941065,0.07567858862377852,0.06099296944175481,5.9386,5.7951,5.3183,50.57,7.182,True,True,True,3.280174139325061,
INTC,98.7,0.04466546826174422,0.19578381213314056,0.959110656127159,1.5063482547276141,71.083,55.5898,40.1543,86.98,0.857,True,True,True,0.012154351779015584,
GOOGL,385.07,0.0007017139808103146,0.11808947197588626,0.30192386525875325,0.22272272752423516,336.9895,315.4518,280.8634,86.76,0.716,True,True,True,-0.060697947042168986,
